geoid,county,cox,moore,lashar,wallace,harding,sefcik,write_ins_22,hogan,jealous,quinn,schlakman,write_ins_18,total_votes_22,pct_cox,total_votes_18,pct_hogan
24001,Allegany,13833,6390,279,143,267,0,17,19224,3985,166,139,16,20929,66.09489225476611,23530,81.69995750106247
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,157202,69399,1366,1052,187,168548,43.77091392363006,229206,68.58546460389344
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,58360,123609,1055,1491,176,128573,8.856447310088432,184691,31.598724355815932
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,198122,122773,1633,1492,256,225973,35.73834042120077,324276,61.09672007795828
24009,Calvert,18447,14236,504,142,242,0,89,29610,9216,303,130,25,33660,54.80392156862746,39284,75.37419814682823
24011,Caroline,6727,3276,176,56,140,0,21,9489,1900,82,28,6,10396,64.70757983839938,11505,82.47718383311604
24013,Carroll,38969,25155,1515,436,561,0,301,62445,11767,533,261,45,66937,58.21742832812944,75051,83.20342167326218
24015,Cecil,18159,8691,472,155,311,21,35,27063,7354,353,154,15,27844,65.2169228559115,34939,77.45785511892154
24017,Charles,15096,33633,408,283,414,0,78,31756,32100,274,193,37,49912,30.24523160762943,64360,49.34120571783717
24019,Dorchester,6169,4341,139,69,157,0,19,9205,3043,72,39,8,10894,56.62750137690472,12367,74.43195601196734
24021,Frederick,44307,51423,1700,555,722,0,306,72560,33355,746,499,59,99013,44.748669366648826,107219,67.67457260373628
24023,Garrett,8195,2402,194,52,138,0,15,9472,1395,86,48,7,10996,74.52710076391415,11008,86.04651162790698
24025,Harford,51930,40837,2033,618,914,0,301,85259,24012,756,461,91,96633,53.739405793052065,110579,77.10234312120747
24027,Howard,33110,83690,2464,802,713,0,419,80574,61146,800,752,111,121198,27.318932655654383,143383,56.194946402293155
24029,Kent,3718,4256,106,56,93,0,10,6370,2222,43,57,2,8239,45.12683578104139,8694,73.26892109500805
24031,Montgomery,58701,227161,3443,2444,1677,0,768,180018,224029,1922,2110,349,294194,19.953160159622563,408428,44.075822421577364
24033,Prince George's,17937,179968,1081,1693,1984,0,314,89925,225889,1469,1423,279,202977,8.836961823260763,318985,28.19098076712071
24035,Queen Anne's,12840,8577,416,120,212,0,89,19503,3268,99,86,15,22254,57.69749258560258,22971,84.90270340864569
24037,Saint Mary's,20670,14365,720,263,361,0,86,30703,9084,410,170,27,36465,56.68449197860963,40394,76.00881319007775
24039,Somerset,3974,2254,67,46,81,0,6,5203,2379,71,33,16,6428,61.82327317983821,7702,67.55388210854323
24041,Talbot,7497,7989,289,70,128,0,44,14081,3957,79,66,7,16017,46.80651807454579,18190,77.41066520065971
24043,Washington,27571,17006,646,257,483,0,75,38765,10894,491,268,43,46038,59.88748425213954,50461,76.82170389013298
24045,Wicomico,14612,12213,388,171,358,0,46,22659,10426,284,141,24,27788,52.58384914351518,33534,67.57022723206299
24047,Worcester,13433,8550,273,121,161,0,31,18076,5437,148,82,12,22569,59.51969515707386,23755,76.09345400968218
