County,2018_cte,2019_cte,2020_cte,2021_cte,2022_cte
Allegany County,24.56%,21.45%,17.18%,29.72%,29.43%
Anne Arundel County,14.30%,15.01%,12.01%,12.33%,15.35%
Baltimore City,31.51%,33.68%,34.08%,34.41%,27.98%
Baltimore County,24.89%,25 .21%,21.18%,24.75%,42.32%
Calvert County,40.75%,48.73%,49.69%,42.26%,49.75%
Caroline County,47.28%,53.41%,57.41%,52.94%,59.60%
Carroll County,38.70%,44.28%,44.03%,39.33%,43.79%
Cecil County,32.27%,33.72%,36.54%,34.06%,32.51%
Charles County,37.81%,27.09%,24.52%,37 .61%,38.01%
Dorchester County,44.22%,44.36%,40.89%,41.04%,45.49%
Frederick County,21.28%,19.87%,21.92%,22.27%,31.06%
Garrett County,73.31%,73.68%,81.40%,79.92%,84.82%
Harford County,33.88%,32.33%,26.12%,40.55%,41.33%
Howard County,19.32%,18.81%,19.16%,23.53%,25.61%
Kent County,66.21%,74.14%,62.69%,70.83%,66.15%
Montgomery County,10.26%,12.86%,13.64%,14.10%,14.22%
Prince George's County,13.27%,17.76%,13.24%,13.30%,3.11%
Queen Anne's County,47.39%,19.39%,55.36%,44.46%,48.03%
Somerset County,43.79%,55.19%,55.92%,62.58%,69.40%
St. Mary's County,44.14%,45.62%,46.22%,46.05%,47.50%
Talbot County,56.68%,49.50%,39.68%,46.75%,47.60%
Washington County,45 .43%,45.08%,51.16%,53.27%,53.60%
Wicomico County,19.26%,24.54%,24.76%,24.55%,33.20%
Worcester County,45.03%,46.82%,51.63%,59.21%,56.32%
